puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id
83,-,Mike A. Pender,"['Atif Lanier', 'Mike A. Pender']",Trip is an aspiring trumpet player with one foot in the streets and the other in his music. A lifetime of poor decisions has placed him between the police and mysterious figure Mississippi Black in his pursuit of stardom in 1945. He soon finds things are not always what they seem.,-,Accion,swing,tt5350966
,8.8,Richard Keith Quintero,Richard Keith Quintero,A mockumentary following the lives of four Hitmen as they vie for the same contract.,18,Accion,cleaners,tt5350188
22,4.7,Simon Cade,Johann Farnhan,A short film about revenge and gangs in the streets of Manchester.,4,Accion,two wrongs,tt5353280
,-,R.M. Moses,R.M. Moses,The moon was created to save the world.,2,Accion,city of hearts,tt5352946
50,9.8,Nick Berry-Smith,Benjamin Pahl Robinson,"A story of man and a scattered handful of survivors roaming a devastated world: desperate, hungry and hunted. Michael has lost everything, but he counts every new sunrise he sees as a triumph.",14,Accion,what remains,tt5353168
,-,Andrew Smith,Andrew Smith,"Three years ago, con artists Ramona and Jay stole the identity of David Fincher (AKA Dutch) A veteran of the Marine Core; widowed father of one and set him up to be the fall guy after top secret documents are stolen from a government facility. In their research, Jay and Ramona found that Dutch was dishonorably discharged from the military when he went AWOL after his w... Leer todo",9,Accion,every action,tt5355192
,7.1,Rui Constantino,Rui Constantino,"A monk goes to Lisbon, to track down an ancient evil, that lurks inside an old house to save a family that lives there.",20,Accion,o caminho da luz,tt5355468
,-,"['Michael Mc', 'Guirk']",-,An experimental film about a young girl that discovers the beauty of filmmaking. This was shot entirely on Kodak Super 8 Vision-3 500T & 50D. This shows the depth of Super 8 film In conjunction with modern filmmaking technique.,4,Accion,#filmforever,tt5355534
,6.0,"['Devin Graham', 'Adrian Picardi']",-,"A devastating pandemic sweeps through New York City on Black Friday, and one by one, basic services fail. Within weeks, society collapses into chaos, and the government activates The Division, a classified unit of self-supporting agents. Leading seemingly ordinary lives among us, Division agents are trained to operate independently of command when all else fails. In T... Leer todo",31,Accion,the division: agent origins,tt5354588
,-,-,-,"A teen version of Orange is the New Black, Pretty Little Liars, and Girl Interrupted. Four teenage girls are fleeing from a horrendous, abusive group home facility. They're escaping from California to Mexico.",10,Accion,runaways,tt5357448
,-,-,Arturo Adame,"Officers Marks and Grey are on a typical drug sweep assignment. They didn't expect to have a instant case on their hands. Its the law vs outlaws "" run3""",-,Accion,run3,tt5358228
,-,Sonny Atkins,Sonny Atkins,-,-,Accion,rough hands,tt5359688
-,5.2,James Poirier,James Poirier,"In this tactical thriller, Haunted by a past he thought he'd outrun, Dust is forced into his old ways to rescue his former partner from a vengeful madman.",21,Accion,relapse,tt11111984
71,-,James Walker Sieradzki,James Walker Sieradzki,A soldier struggles to shake his violent flashbacks to the Great War.,2,Accion,tommy,tt5358600
,-,J. Hanna,J. Hanna,Two detectives keep the mean streets safe from crime and corruption. Stoney Malone and his partner... an inanimate Hat Rack... will fight any evil.,2,Accion,hat's a plenty!,tt5360140
-,8.3,Vladek Zankovsky,Vladek Zankovsky,"An assassination attempt on a high-ranking official in the center of Odessa, Ukraine.",5,Accion,once upon a time in odessa,tt5362796
,8.5,Richard F. Roszko,-,All Your Base Are Belong To Us,4,Accion,all your base: last of last,tt5365076
,-,Daniel Burke,Daniel Burke,Two socially awkward teenager's friendship is tested when their old best friend/psycho-maniac-jock challenges them to beat him in the talent show.,19,Accion,the magic of friendship,tt5363142
,-,Levi Donaldson,Levi Donaldson,-,11,Accion,the me,tt5362722
,-,Ilie Zubascu,Jeff Nottingham,"Soundtracked by grime-rap over classical music, PIDGE's (17) quest for a role model and a fulfilling life in North London housing estates, where a postcode can both define and kill you.",17,Accion,lost in mozart,tt5367606
,-,Jason F. Knittle,Ron Henslee,"Our world is set on a predetermined past. Sometimes that path needs to be re-aligned. When our timeline begins to stray, Rangers from the ""In Between"" are dispatched to protect the future.",10,Accion,the 'n' word,tt5367352
,9.2,David Rudebjer,"['Joel Nilsson', 'Alexander Norgren', 'David Rudebjer']",An old hero is the last hope to stop the enemies of America from destroying the world.,-,Accion,team sweden: america police,tt5368328
-,-,-,-,"In the course of a single boxing match, where he's required to take a dive, a lost boxer faces his demons.",9,Accion,the shadow boxer,tt5370864
-,-,Jorge Arzac,Jorge Arzac,"The biggest fight in the gym is one with his own mind. Doubt, Fear and Disbelief can be overcome through the hard work of mental and physical training. A fighter gets a boost of inspiration to keep pushing, even when his mind is telling him that it is impossible. Shot & Edited by Jorge Arzac. Starring Nicholas Avenue.",-,Accion,mind over matter,tt6731088
67,-,Russo Mutuc,"['Emily Mac', 'Lean']",-,-,Accion,typewriter,tt5372100
,-,Radu Vlad,Radu Vlad,Gold prospectors are out to get it any way they can...,4,Accion,the coyote hole,tt5373652
76,-,Kenneth Pulgar-Vidal,-,-,-,Accion,the escape,tt5375028
,7.2,"['Julian Lambert', 'Lee Fox Williams']","['Philip Armstrong', 'James Piercy', 'Lee Fox Williams']","The Acheron Club, an underground fighting tournament with a brutal reputation. It is seen as the last chance for many, but before a young fighter can make his way to the top he must discover what brought him there in the first place.",17,Accion,acheron,tt5375518
,2.1,Andrés Cámara,Andrés Cámara,Hope lives in a laboratory. Soon she started asking questions. As far as the take?,10,Accion,volver a nacer,tt5376444
,-,Sanjini Bhakta,Sanjini Bhakta,Action heroine Skylar is on a quest to find the Empress Diamond.,-,Accion,eye of the empress: playing pool,tt5376416
80,-,Ryan Monolopolus,Ryan Monolopolus,"In a near distant future, three genetically modified soldiers square off against each other in a fight for their lives.",20,Accion,alpha,tt5377356
47,-,Amrit Oberoi,"['Amrit Oberoi', 'Varunn Pandya']","A hitman, who is about to assassinate a guy soon finds out that there is also a girl involved in this assassination, who reminds him of his own murdered daughter.",5,Accion,redemption,tt5377028
87,3.5,Lexi St. John,Lexi St. John,"In a futuristic post-war dead zone, a Young Woman must survive her first smuggling mission with the help of her Father. Their assignment: to secretly transport cases of valuable cargo into the heavily guarded and oppressive Police State. Their expedition is dangerous, tense, and primal, but this cargo must reach the prisoners within the walls for their mission to be c... Leer todo",-,Accion,cargo,tt5390484
,-,Jesse Scimeca,Jesse Scimeca,"After the loss of a loved one, a man deals with his grief by driving the night ridden streets of his city, looking for others in need of help.",9,Accion,goodboy,tt5421330
,-,Jon Kyle Hansen,"['Dominic Burgess', 'Jon Kyle Hansen', 'Michael Nardelli']","The results turn ugly (very ugly) when two globetrotting, artisanal food-loving couples attempt to negotiate social niceties at their favorite Arts-District restaurant.",7,Accion,we'll get it,tt5419330
,-,Jonathan Gesthuizen,"['Jonathan Gesthuizen', 'Bobby Mailman']",Love will conquer all.,12,Accion,ice cold,tt5419402
,-,Kamil Targonski,"['Sanjeet Kaur', 'Kamil Targonski', 'Gabriella Teriaca']",2 Students try to access the school CCTV but it all goes South when one of them breaches the school security and breaks Section 9 of the Theft Act 1968.,11,Accion,object code,tt5419376
,7.9,"['Shingo Natsume', 'Nobuhiro Mutô']","['Mike Mc', 'Farland', 'Tomohiro Suzuki']","A story about Genos when he meets Don Pacino, a C class wanted criminal and his gang in a warehouse along with man who is being held captive by the gang.",12,Accion,one punch man - wanpanman: the pupil who is an extremely poor talker,tt5421738
,-,Benoît Boyer,Benoît Boyer,"Pierre decides to go have a last drink but Héla, an attractive young woman, has another purpose for him.",8,Accion,i am the end,tt5421114
,9.2,Niels Sabbe,Niels Sabbe,A mysterious suitcase changes the life of the receiver in a vivid rollercoaster through the streets of Bruges.,10,Accion,in case of confidence,tt5424956
,2.6,Tito Guillen,Tito Guillen,A human story about survival in an inhuman world,11,Accion,the good survivor,tt5430624
,-,Alexander Buck,Alexander BuckÉder Formigoni,"Cabbage, a herbaceous plant. Peculiar species of the borecole genre, best known for developing a characteristic 'head' of fibrous sheets firmly entangled. The vegetables are defined by the slowness of their movement, which is metabolism, through which the water and soil nutrients are incorporated from dark roots through the phenomenon of photosynthesis. By being harve... Leer todo",9,Accion,repolho,tt5427562
,-,Quinn Holmes,-,"Two intrepid boys wonder around the neighborhood causing mischief on an innocent summer day. Little do they know, their simple shenanigans would soon turn into one unforgettable sin.",6,Accion,the sounds of summer sins,tt5427916
,-,Victor Verhaeghe,Victor Verhaeghe,"Caleb, the Shakespearean gibberish spouting, blonde haired super hero, battles the evil Trialogor in an epic post future apocalypse.",7,Accion,caleb vs. trialagor,tt5428694
,-,Justin Ian,-,-,-,Accion,old habits,tt5427658
,-,Sam Gorski,-,Legendary operative snake sends a lowly infantry soldier on the balloon ride of his life while simultaneously killing all his friends,-,Accion,metal gear balloon ride,tt5431012
,-,Cristi Toporan,Doina Rusti,Two young lovers and the journey of a mobile phone in a summer day in which change the order of things.,7,Accion,35 minutes after,tt5429922
,-,Wade Patterson,-,A man with a serious illness finds himself pursued by a ruthless brute through the woods and must decide whether or not he really wants to lives.,-,Accion,the beatdown,tt5432630
,-,"['Jonathan T. Baker', 'Matthew Toronto']","['Jonathan T. Baker', 'Matthew Toronto']",Two mental patients' romantic break-up turns violent when one won't take no for an answer.,14,Accion,harper finch,tt5433724
-,6.9,Ago Panini,Ago Panini,"Carlo is just a regular guy who keeps a secret world hidden inside his closet. Will his newfound love for shy office colleague Anita, mean the end of the world for the closet mini planet?",12,Accion,carlo,tt5433582
,-,Justin Hutchins,-,"Rio, road manager and tech engineer for Jem and the Holograms, has gone missing. Tracking his phones signal to an abandoned warehouse, Jem, Kimber, Shana, and Aja must use their technology, skills, and wit to solve the mystery of Rios disappearance and save their friend.",-,Accion,jem: only the beginning,tt5437718
40,9.0,Wade Patterson,"['Miles Donald', 'Robert M. Jordan', 'Wade Patterson']","The Boxer, a quiet man with a history of losing fights, comes to Mickey McDonnell begging for a fight, but the only thing he can offer the failed pugilist is an impossible match with Bruiser, an unbeaten brute twice the boxer's size, and if he loses he owes Mickey twenty fights as payback.",-,Accion,bare knuckle,tt5438048
,-,Sanjini Bhakta,Sanjini Bhakta,"Action heroine, Skylar is on a quest to find the Empress Diamond.",-,Accion,the gangsters,tt6311872
,8.7,"['Alex Di', 'Vincenzo']","['Alex Di', 'Vincenzo']","The year is 1999. After the nuclear apocalypse, cyberpunks have inherited the earth. Humanity's last hope lies in one man's hand: Biff Bruiser.",2,Accion,cybershock 1999,tt5448720
-,-,Elizabeth Yoder,-,An illegal poker game turns ugly as the stakes are raised to reveal an unexpected twist.,-,Accion,the showdown,tt7462604
,-,Justin Ian,-,-,-,Accion,duffrains,tt5449202
-,-,Rene Moran,-,-,-,Accion,fight,tt6533946
,-,-,-,Reparto principal,1,Accion,false accusations,tt5449150
,-,David M. Gutel,-,-,-,Accion,unsecured location,tt5449286
57,7.4,Kyle Smithers,Tony Rettenmaier,A conflicted husband enters the woods to ....,14,Accion,the hunt,tt10191440
,-,Veronica Zazueta,"['Joe Wakefield', 'Veronica Zazueta']",-,-,Accion,silent jones,tt5453914
-,-,Andrei Sporea,"['John Kovacevich', 'Lenny Porterfield', 'Alex Rodzinek']","An Amateur boxer fighting to go pro, but before he dose he needs to face other jealousy boxers and promoters.",18,Accion,amateurs,tt5454394
,-,West Tiara,-,-,-,Accion,5 o'clock short film,tt5457842
,-,Wayne Wilde,-,-,-,Accion,red wrath,tt10015186
,6.7,"['Nathan Mc', 'Innes']","['Nathan Mc', 'Innes', 'Morgan Price']","Based on the stories by Stan Lee and Steve Ditko - Peter Parker is on a mission to track down the man who murdered his uncle. Now, thanks to a radioactive Spider, Peter has gained extraordinary abilities.",28,Accion,spider-man fan film - film form studios,tt10042774
-,-,Jae Sinclair,Jae Sinclair,-,-,Accion,the case,tt10061574
49,-,Thevin Kumar,Thevin Kumar,-,5,Accion,mirror mirror,tt10068922
58,-,Justin Favaro,Justin Favaro,-,-,Accion,winner,tt10074884
,-,Connor Odom,Connor Odom,"In a world where fire has been deemed too dangerous and must be controlled and contained, Olivia, and her brother Mac, siblings with the ability to control fire, are on the run after being discovered by their camp.",13,Accion,a world without flame,tt10085248
,-,Aiman Samat,Aiman Samat,"A hired killer is having a financial problem while having to pay for her caretaker's hospital bill; until she finds out about an app called ""Instagore"".",8,Accion,instagore,tt10106644
,-,Quan Minh Le,Quan Minh Le,-,-,Accion,dojo,tt10110808
,-,Helen Wu,Helen Wu,"Trapped in the gaming world, a kiwi-Asian boy races against time to reach reality. Dire consequences await.",-,Accion,gg,tt10156108
,-,"['Trevor Telenko', 'Mavrick Vo']","['Trevor Telenko', 'Nick Trusch', 'Mavrick Vo']","Jason Todd, the second Robin, was murdered by the clown prince of crime, The Joker. Five years later, he rose back from the dead to seek vengeance and begin his new identity as the Red Hood.",15,Accion,red hood uprising,tt10162544
,-,-,-,Reparto principal,-,Accion,layerr absolute (tv commercial),tt10183684
-,6.7,Tony Cole,-,"Success has gone to the heads of the Fox Way Studios crew. Full of themselves, they decide to settle things the only way they know how.",8,Accion,civil war,tt10215332
,6.5,Tony Cole,-,"After being mysteriously resurrected, Nate finds himself surrounded by a new enemy.",6,Accion,civil war 2: resurrection,tt10215360
,-,Oskar Tejedor,Oskar Tejedor,-,13,Accion,the abbey,tt10262518
,-,Nasty Bohemia,-,-,-,Accion,job chasing,tt10269876
,-,Alexander Hernandez,"['Andy Bertelsmeyer', 'Shannon Ferguson', 'Alexander Hernandez']",-,-,Accion,the floor whisper,tt10307720
,-,Dawid Rzedzian,Dawid Rzedzian,-,-,Accion,metal gear solid: a new divide,tt10305124
,-,Jeremy Tichy,Jeremy Tichy,-,-,Accion,hledaci ztracené historie: vzkaz mrtvého muze,tt10334460
,-,Nick Anderson,"['Nick Anderson', 'Skyler Henry']","Our entry for the My RØDE Reel 2017 competition. The Bust is an action-comedy set in a classic warehouse drug deal. Six mafiosos and gangsters face off against each other. But as the characters quickly discover, there's more going on than it first appears.",3,Accion,the bust,tt10369546
,-,Alexandre Prod'homme,Chris Hogstead,-,3,Accion,scarcity,tt10388938
,-,Finn Sullivan,Finn Sullivan,A kid gets stuck in the internet and needs to escape.,8,Accion,stuck in the internet,tt10432798
,-,Charles Sutton,Charles Sutton,-,-,Accion,final door,tt10471974
,-,Chamupathi Gigara,"['Bimsara Gunarathna', 'Nipuna Hasaranga']",-,-,Accion,dadayama,tt10476472
,-,Zane Hampton,Zane Hampton,-,3,Accion,pit,tt10488522
-,7.6,Tero Peltoniemi,Tero Peltoniemi,"Allegorical action comedy about Toni, who dreams of becoming a pilot in the air force. His application has been rejected because of his height and near-sightedness, but Toni will not give up. He performs a stunning demonstration at the air force base.",3,Accion,toni air,tt10488264
38,-,-,-,Reparto principal,-,Accion,coming home,tt11225366
-,-,Kevin Urbina,Kevin Urbina,-,4,Accion,loose ends,tt6361792
,-,"['Luis Tristan', 'Drew Bromley']","['Drew Bromley', 'Greysen Davis', 'Sammy']",-,-,Accion,the attack of kavocko,tt10519994
,-,"['Nathan Mc', 'Innes']","['Nathan Mc', 'Innes']",-,7,Accion,destiny: a power rangers fan film,tt10521238
,-,Avery Otten,"['Olivia Harris', 'Avery Otten']",-,-,Accion,"easy, killer.",tt10524894
,-,Ricardo Patino,Ricardo Patino,-,-,Accion,the silentkiller,tt10534502
,-,Ezzeddine Zein,Ezzeddine Zein,-,-,Accion,the meaning of war,tt10578464
,-,Sheng Yong Cheng,Pau Han Kho,A kung-fu master faces a cyborg demon from hell.,-,Accion,dìyù,tt10627316
,-,Danny Man,Danny Man,A Young man is taken away everything from his life and even is left crippled. Then later comes back for vengeance finding redemption and hope for the whole town.,-,Accion,rebel with a cause aka warrior,tt10666600
0,9.2,Matic Valentan,Matic Valentan,A look inside a job of paid assassin with unusual disability.,5,Accion,the contract,tt10687484
,-,"['Diego Osorio', 'Arturo Zuñiga']","['Diego Osorio', 'Arturo Zuñiga']",-,-,Accion,reebok: fantasy,tt10706652
,-,Keivan Mohseni,Keivan Mohseni,-,9,Accion,six o'clock,tt10731956
,-,"['La', 'Ren Johnson']","['La', 'Ren Johnson']",-,-,Accion,the stop,tt10736102
,-,Alek Parker,-,-,15,Accion,continuance: part one,tt10777108
,7.2,"['Jadon Gauthier', 'Zach King']",Andrew Gerlicher,A movie studio intern uses magic to help make sure the trailer for studio's blockbuster film is uploaded on time.,2,Accion,jurassic world: fallen kingdom - the trailer rescue,tt10800876
,-,"['Yuki Kitazumi', 'Aung Thu Rein']",Yuko Hirata,"This film was produced by young Japanese and Myanmar creators in Yangon. They challenged the very new concept in Myanmar, comedy drama based on cooking battle. It is also a revenge story. Its important theme is Myanmar traditional catfish noodle ""mohingar."" Young chef fights using his handmaid mohingar to revenge himself for his father's death on big evil society whic... Leer todo",28,Accion,mohingar tapwe!!,tt10805182
,-,Bjorne Willemsen,Paul Bontenbal,-,6,Accion,posse s,tt10835364
,-,Drew Bromley,"['Drew Bromley', 'Charles Cribley', 'Greysen Davis']","Purple Shep gets upset that Jeffy bullied Butterfinger, so he gets revenge on him and wins.",2,Accion,purple shep vs. jeffy 3,tt10871440
,-,Adrián Tejero,Adrián Tejero,-,-,Accion,water,tt10885790
33,-,Clément Petit,Clément Petit,-,-,Accion,insane,tt10909028
62,-,Moussa Sako,Moussa Sako,-,-,Accion,asura,tt15399758
25,-,Victor V Gelsomino,Victor V Gelsomino,"Columbian Drug lord, Big Papi, has messed up big time. After disregarding the orders from the Mob in the U.S. he has dared them to send an army after him. They only send one; Jack Matrik to take of this problem. And he does it, the only way he knows how; kill them all.",5,Accion,army of one,tt10935034
,-,Gleison Mota,Gleison Mota,"Kiku receives a visit from Isaac who leaves a Teddy Bear in his hands while fleeing the police, this triggers a whole odyssey where he is chased by the police and the drug dealer Panda.",24,Accion,tráfico de urso,tt10939716
,-,Christopher M. Rutkowski,-,-,-,Accion,mean girls vs mad max nyx face awards,tt10969586
,-,Omar Khaled,"['Omar Khaled', 'Amr Remah']",-,7,Accion,lego batman's the stunt,tt10988166
,-,Jacob Horne,Jacob Horne,"A getaway driver comes into possession of a suitcase with enough money in it to skip town. Problem is, he's not the only one interested in the case.",8,Accion,the wheelman,tt11126106
38,-,"['Daniel Lugo De', 'Arellano']","['Ricardo Cano', 'Daniel Lugo De', 'Arellano', 'Jonathan Diaz']",-,-,Accion,coming home,tt11225366
,6.8,Kaydee Free,Kaydee Free,-,-,Accion,red rose of texas,tt11266306
-,-,Carlos Robles,Carlos Robles,"BOUNCER is about a special forces vet that arrives a new town and find a job as bouncer in a disco, soon he will face with local muggers and a mafia group.",-,Accion,bouncer,tt11276712
73,-,Miguel Ángel Muñiz,Daniel Rodríguez,"Victor lives with his brother Luis in the mountains. One day his sister, whom they haven't seen for five years, shows up at his house and tells them that his teenage daughter has disappeared.",14,Accion,familia,tt11355310
,-,Zura Chakhunashvili,-,-,1,Accion,knowledge is power,tt11421890
,-,Gabriel Paz,"['Matheus Leone', 'Gabriel Paz']","Ana and Fernando live a relationship that has already fallen into routine. Dissatisfied with the situation, Ana has an extramarital relationship with Amanda. One day, having her plans thwarted by Fernando, Ana decides to meet her lover for the first time.",11,Accion,ponto de fuga,tt11488300
,-,Alex Denysov,Alex Denysov,-,8,Accion,have some sleep,tt11496710
,-,Joshua Ortiz,Joshua Ortiz,"It is the year 2075. An evil alien race known as Fohgons, led by Commander Zorga, unleashes a virus on Earth turning many of its inhabitants in to flesh-eating zombies. Those who remained rose up and formed The Resistance to fight back against the invaders.",33,Accion,war of 3,tt11573770
,-,Leroy Nguyen,Leroy Nguyen,-,-,Accion,benny the bruiser,tt11650106
,-,Rebecca Maddalo,Cari Daly,-,-,Accion,cravetech,tt11668236
,-,Dylan Monroe Thompson,Dylan Monroe Thompson,A brawl ensues when a man is ambushed in a parking complex.,2,Accion,compact,tt11753332
,-,Amir Zargara,Amir Zargara,"A play that takes place in a war zone. 2 of ""The Friendly"" forces have been captured by ""The Enemy"" and one of them sacrifices her life for her brothers in arms. ""The Mourners"" then enter to carry her soul and body to the after life.",12,Accion,leave no man behind,tt11760494
,7.8,"['Clinton Jones', 'Freddie Wong']",Clinton Jones,-,2,Accion,dog wick,tt11778124
,-,David Stoker,David Stoker,-,5,Accion,bullseye (fan film),tt11865944
,-,Makkai Márk,Makkai Márk,"Two young criminal got a job from the local gangster leader, but this job was just a scam, which will start a war between the gangsters, the guys and the police.",20,Accion,infido,tt12045052
,-,Tidus Hartcher,Tidus Hartcher,-,-,Accion,la triche à l'envers,tt12116164
14,-,Isaac Hirotsu Woofter,Isaac Hirotsu Woofter,"In LA's Asian gang scene, a lone wolf runaway becomes a police informant and a gangster to help keep peace on the streets. When a new super gang threatens his biological, gang, and LAPD families, he must either fall deeper into their conflicting worlds or reveal the secrets that have kept him alive.",-,Accion,turf,tt12210300
42,-,Stanley Ryan Chau,Stanley Ryan Chau,A reluctant runner for an underground boss is summoned to deliver an obscure package. Along the way he gets tracked down by a mysterious man and a chase begins.,4,Accion,the package,tt12251346
,-,Jamale Ellison,Jamale Ellison,"A father, chosen by God to protect His People from evil in secrecy, is forced to choose between saving the life of his son and those of millions of innocents caught in the middle of a war between Heaven and Hell.",-,Accion,bring my son to glory,tt12294650
79,-,Dora Szelei,"['Edita Bromova', 'Dora Szelei']","A teenage boy goes too far taking revenge on a bully, who hurt and humiliated his younger sister. He decides to kidnap and keep the bully as a prisoner, hiding him from his sister.",8,Accion,triangle,tt12587524
,-,Casey Joel,"['Chaise Creggon', 'Casey Joel']",-,20,Accion,insel der verdammten,tt12603014
80,-,Poppy Morris,-,-,-,Accion,the chase,tt11324232
,-,Nassos Bo,-,-,6,Accion,bad & rou,tt12628740
13,-,Devan Ford,Devan Ford,"After an inside tip is brought to a group of assassins, Chris must decide if one last job is worth the risk. They must decide whether they can trust their old friend, Michael. Is there something hidden under the surface? They will finish this last job and be done with it all.",7,Accion,stealth,tt12689484
,-,Ryan Harrison Riffle,Ryan Harrison Riffle,"The Power Rangers have fallen, yet one remains. His fight is over, his fire is not. The Black Ranger's daughter has been kidnapped, his friends may have fallen, but he still has family.",-,Accion,the last ranger (fan film),tt12734444
53,-,Joe James,Joe James,-,-,Accion,first date,tt10383714
92,-,Mario Scott,Mario Scott,"A small High School Reunion is taken over by Robbers, but six Alumni with a heroic past intervenes.",12,Accion,reunion,tt12856534
,6.8,Tudor Botezatu,Tudor Botezatu,-,3,Accion,brate si piept,tt12897978
66,-,Daan Venmans,"['Michelle Righolt', 'Daan Venmans', 'Davy van den Eijnden']",-,-,Accion,superior,tt12908474
,-,Christian Gracz,"['Leandro Bulzzano', 'Christian Gracz']","In a destroyed future, two scavengers come across an infected group. They must get out.",4,Accion,yelk,tt13077106
-,-,Dilawar Sidhu,Dilawar Sidhu,-,-,Accion,the decision,tt13118900
53,-,Justin Wu,Justin Wu,Overtime contrasts the tender love of a father with the brutal world in which he works.,-,Accion,overtime,tt10756230
,-,Edward Hicks,Edward Kemp,"After the election of a new American president, a military base in Suffolk discovers the president's collusion with the Russians, and then tries to call for impeachment.",10,Accion,augury,tt13282964
,-,"['Thomas Mc', 'Intosh']",Jake P. Kelly,An alcoholic learns he has crime fighting abilities when intoxicated.,7,Accion,black out,tt13857968
-,-,Meto Ege,"['Murat Cankurtulus', 'Cihan Ege', 'Meto Ege']",-,23,Accion,mezarci,tt13368078
,-,Parker Olukalns,"['Parker Olukalns', 'Josie Shaffer']","One year after his arrest, Titus Armstrong escapes from prison with a strange new friend, and Serenity and Carmen must stop them.",7,Accion,doa2,tt13499274
,-,Markus Pauli,"['Aaron Brusius', 'Markus Pauli']",-,2,Accion,aaron rennt,tt13550690
58,-,Bobby D'Buze,Bobby D'Buze,The Challenger fights his way through to the boss.,-,Accion,game of death,tt13563144
-,-,Mohamed Nayel,"['Mostafa Mahmoud', 'Mohamed Nayel']","A terrorist kidnapped one of the writers to kill him in revenge for publishing some ideas that contradict the terrorist's views. However, the execution of the crime was not easy because the writer was trying to convince the terrorist of his mistake.",7,Accion,the bullet,tt13589626
,-,Tramaine Bembury,Tramaine Bembury,-,-,Accion,take over,tt13629694
-,-,George Mentchoukov,George Mentchoukov,"A Group of diverse bounty hunters find themselves at odd with each other, as only one of them get to collect the bounty. However everyone seems to have brought invisible guns, or did they?",-,Accion,shoot first,tt13671324
,-,Jacob Shuster,Jacob Shuster,"A New York City tale of small time gangster Fast Fingers Malone, who may have set his sights a little too high this time. After accidentally robbing a mafia owned Italian restaurant, Fast Fingers makes a deadly enemy, Don Vitto Alfredo. Teaming up with former Wiseguy, Marinara Malone, the pair find themselves in the seedy underbelly of Alfredo's New York. When Alfredo... Leer todo",30,Accion,kings of the bronx,tt13678432
,-,Margot Clavel,-,"In a fantasy world, some muscular soldiers are getting ready to attack a bunch of mermaids.",9,Accion,des sirènes et des guns,tt13685732
,-,Cedric Thegner,Cedric Thegner,-,-,Accion,arbitrio,tt13798912
,-,Starwarsstudio100,Starwarsstudio100,The decay and badness goes beyond the war of weird and madness besides Kranky town Tali-lock and some other cites but no one gives a damn there was another city that the evil forces of lord baldy bald laid their eyes on once the evil forces marched into the streets they met heavy resistance of local rebels and the order of the silver coin as a result only half of the ... Leer todo,36,Accion,lego war: battle of mo-wol,tt13814574
27,-,Cédric Spozio,Cédric Spozio,-,-,Accion,drone,tt13815680
,-,DAC,DAC,-,-,Accion,the cat hunter rises,tt13819322
,-,Brandon Carter,Christian Elliott,-,-,Accion,domestic servitude: can you see me?,tt13866858
,-,"['Brandon Carter', 'Christian Elliott']",Christian Elliott,-,-,Accion,runaway children of america - can you see me?,tt13866872
,-,Rodrigo García Saíz,-,-,1,Accion,gmc professional grade,tt13884120
,-,Rodrigo García Saíz,-,-,1,Accion,gmc professional grade acadia,tt13884318
,-,Stefano Salvati,Stefano Salvati,-,-,Accion,arsenal firearms academy,tt13967546
,-,Andrea Ventura,Andrea Ventura,"Found footage that from another point of view tells the story already told of the famous Dragon Ball character, Trunks (all rights to the original version to Akira Toriyama and Toei Animation).",6,Accion,m e m o r y - m a c h i n e,tt13979846
,-,Azer Guliev,Azer Guliev,-,14,Accion,pa-pa,tt14016000
-,-,Arman Ansari,Douglas Dapaah-Agyemang,-,9,Accion,ultimatum,tt14019096
,-,Pablo Praino,"['Manuel Facal', 'Pablo Praino']",-,16,Accion,rumblera raidress,tt14023702
,-,Mike Le,"['Mike Le', 'Yousif Nash']",-,-,Accion,level iii,tt14068974
,-,Michael Eric Olson,Michael Eric Olson,Entry in the Saber Competition 2017,3,Accion,the trials,tt14075220
,-,"['Timme Zaszlos', 'Melvin Gijzen']",Timme Zaszlos,"This story is about a brother who wants to save his other brother from the mafia that is after him. After he discovers that his brother owns money from the mafia, he does anything to save his brother and kill the assassin that has been send to kill his brother. He encounters the assassin and he fights against him. After the fight is over, he continuous his search for ... Leer todo",-,Accion,limbo killzone,tt14082144
,-,Davide Grisolia,-,-,-,Accion,wolv - was kostet ein leben,tt14098290
-,-,Jesus Adrian,"['Jesus Adrian', 'Omar Jurado', 'Anthony Villa']","five persons joined in a common work for a robbery, they will split and has its own path, driving them into troubles and treason, one by one will be kill to get all the money, drama, action, comedy all in one.",7,Accion,the robbery,tt6391374
,-,Mithun Sundaresh,Mithun Sundaresh,"After given a second chance at life, a man is left with nothing but greed, revenge and an assassin on his mind who is at loose.",-,Accion,ghatakan,tt14130810
,-,"['Abraham Chen', 'Daryle Mindeman', 'Jared Wiggins']","['Amanda Beguerie', 'Jace Bower', 'Anne', 'Marie Mc', 'Pherson']",-,-,Accion,the natatorium of the mind,tt14271152
,6.0,J.J. Abrams,Jimmy Kimmel,"In honor of Jimmy Kimmel's 50th birthday, his staff created a superhero short based on a comic book he drew when he was nine years old then arranged for J.J. Abrams to direct and twelve Hollywood A-Listers to star. It aired as part of an episode on his late night show, ""Jimmy Kimmel Live!"" in November 2017, and reaired on January 23, 2023.",7,Accion,jimmy kimmel's the terrific ten,tt14279324
,-,"['Eskindir Tesfay', 'Katja Wagner']",Katja Wagner,-,5,Accion,transportress,tt14283574
